  Denonimation,  Date creation,  Siege social,  Forme juridique,  Secteur d activite,  url,  Registre de commerce,  Capital
OMEGA PETROLEUM SARL,21/01/2014,NGOR ALMADIES N°417/C,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/omega-petroleum-sarl, SNDKR2014B911 ,1000000
SENGRAAL CONSULTING SARL,27/01/2014,SACRE COEUR 2 1ER ETAGE APPT...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/sengraal-consulting-sarl, SNDKR2014B1300,1000000
SOCIETE CIVILE IMMOBILIERE AMWAST - SCI AMWAST,27/01/2014,RESIDENCE NDIATTE ALMADIE...,SOCIETE CIVILE,IMMOBILIER,http://www.creationdentreprise.sn/societe-civile-immobiliere-amwast-sci-amwast, BORD.N°217 CASE 243,20000000
PHARMACIE ALHADIA SUARL,27/01/2014,CITE FADIA N°98,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/pharmacie-alhadia-suarl, SNDKR2014B1304,1000000
GROUPE GIRAFE SARL,24/01/2014,ALMADIES LOT 16 N°05,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),EDUCATION - FORMATION,http://www.creationdentreprise.sn/groupe-girafe-sarl, SNDKR2014B1239,1000000
I-D TECH SARL,24/01/2014,65 ROUTE DE L&#039;AEROPORT...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/i-d-tech-sarl, SNDKR2014B1234,1000000
GROUPEMENT DELTA VITAS SARL - DELVIC SARL,27/01/2014,LIBERTE 6 NORD VDN N°09,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/groupement-delta-vitas-sarl-delvic-sarl, SNDKR2014B1305,1000000
IPAY SARL,27/01/2014,SICAP LIBERTE 3 IMMEUBLE 3/C,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/ipay-sarl, SNDKR2014B1302,1000000
INJENIUS CONSULTING GROUP SUARL - I.C.G. SUARL,09/01/2014,ROUTE DE NGOR ALMADIES ZONE...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/injenius-consulting-group-suarl-icg-suarl, SNDKR2014B415,1000000
AFRICOAST-TRADING SENEGAL SARL,23/01/2014,DAKAR 94 RUE FELIX FAURE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PECHE,http://www.creationdentreprise.sn/africoast-trading-senegal-sarl, SNDKR2014B1115,1000000
WORLWIDE MOVERS SENEGAL SARL,24/01/2014,28 RUE AMADOU ASSANE NDOYE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/worlwide-movers-senegal-sarl, SNDKR2014B1230,1000000
FRICOP GROUP SARL,24/01/2014,AMITIE 2 N°4045,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/fricop-group-sarl, SNDKR2014B1229,1000000
ENTREPRISE PATHE POUYE SUARL - E.P.P. SUARL,24/01/2014,BANLIEUE PIKINE ICOTAF EN...,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/entreprise-pathe-pouye-suarl-epp-suarl, SNDKR2014B1235 ,1000000
ARCA INTERNATIONAL SUARL,22/01/2014,PARCELLES ASSAINIES UNITE 22...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/arca-international-suarl, SNDKR2014B1003,1000000
CAURIX PAIEMENT MOBILE SARL - CAURIX SARL,24/01/2014,SACRE COEUR 3 N°9398,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/caurix-paiement-mobile-sarl-caurix-sarl, SNDKR2014B1236 ,1000000
