  Denonimation,  Date creation,  Siege social,  Forme juridique,  Secteur d activite,  url,  Registre de commerce,  Capital
 SNDKR2009B13590, 1 000 000CONSTRUCTIS,06/08/2009,56 rue Mouhamed V,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/constructis, SNDKR2009B13590, 1 000 000
 SNDKR2009B13592, 1 000 000COMPAGNIE AFRICAINE DE RECYCLAGE ENVIRONNEMENT SUARL,05/08/2009,363 Grand Dakar face mosquée...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PLASTIQUES / CAOUTCHOUCS / PNEUMATIQUES,http://www.creationdentreprise.sn/compagnie-africaine-de-recyclage-environnement-suarl, SNDKR2009B13592, 1 000 000
 SNDKR2009B13147, 1 000 000TAIHAN ELECTRIC WIRE SENEGAL SARL,27/07/2009,Villa n°168 Sacré coeur III...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),MATERIELS ELECTRIQUES,http://www.creationdentreprise.sn/taihan-electric-wire-senegal-sarl, SNDKR2009B13147, 1 000 000
 SNDKR2009B13551, 1 000 000LA MONDIALE DE L&#039;AUTOMOBILE SENEGAL SARL,31/07/2009,5 Place de l&#039;...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/la-mondiale-de-lautomobile-senegal-sarl, SNDKR2009B13551, 1 000 000
 SNDKR2009B13591, 1 000 000SOCIETE D&#039;ENTREPRENARIAT MOUHAMED ABDOULAYE MBAYE SUARL,05/08/2009,14 Rue Sergent Malamine,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/societe-dentreprenariat-mouhamed-abdoulaye-mbaye-suarl, SNDKR2009B13591, 1 000 000
 SNDKR2009B13780, 1 000 000 FCFASACYKA SARL,06/08/2009,5 Rue SAMOT Fann Mermoz,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/sacyka-sarl, SNDKR2009B13780, 1 000 000 FCFA
 SNDKR2009B13781, 1 000 000HOTEL FARID SARL,07/08/2009,51 Rue Vincens,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/hotel-farid-sarl, SNDKR2009B13781, 1 000 000
 SNDKR2009B13782, 1 000 000L&#039;EXECELLENCE A DOMICILE SUARL,10/08/2009,Patte d&#039;oie builders E61,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/lexecellence-domicile-suarl, SNDKR2009B13782, 1 000 000
 SNDKR2009B13784, 1 000 000BATIFOR SARL,06/08/2009,Sicap foire villa n°10729,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/batifor-sarl, SNDKR2009B13784, 1 000 000
 SNDKR2009B13787, 1 000 000TAYSIROUL HASUR SUARL,10/08/2009,TOUBA SANDAGA Cantine 2317 Bp...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/taysiroul-hasur-suarl, SNDKR2009B13787, 1 000 000
 SNDKR2009B13401, 10 000 000OMEGA FISHING SA,31/07/2009,KM 24 Route de Rufisque Zone...,SOCIETE ANONYME (S.A),PECHE,http://www.creationdentreprise.sn/omega-fishing-sa, SNDKR2009B13401, 10 000 000
 SNDKR2009B13785, 1 000 000CAR BAZAR SARL,06/08/2009,Liberté 6 n°61/B,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMPORT-EXPORT,http://www.creationdentreprise.sn/car-bazar-sarl, SNDKR2009B13785, 1 000 000
 SNDKR2009B13987, 1 000 000EQUIPE RESEARCH SARL,12/08/2009,Cité SIPRES II n°287,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/equipe-research-sarl, SNDKR2009B13987, 1 000 000
